"legacy_url","legacy_title","legacy_word_count","candidate_1_slug","candidate_1_title","candidate_1_score","candidate_2_slug","candidate_2_title","candidate_2_score","candidate_3_slug","candidate_3_title","candidate_3_score","decision","notes"
"https://comint.by/cifrovaya-pechat/priglasheniya-bilety/","Печать пригласительных и входных билетов","12","pechat-priglasitelnyh-i-vhodnyh-biletov","Печать пригласительных и входных билетов","1.000","uf-pechat","УФ печать","0.400","pechat-bannerov","Печать баннеров","0.333","",""
"https://comint.by/cifrovaya-pechat/propusk/","Печать и изготовление пропусков","233","pechat-i-izgotovlenie-propuskov","Печать и изготовление пропусков","1.000","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","0.667","izgotovlenie-i-pechat-vizitok","Изготовление и печать визиток","0.667","",""
"https://comint.by/cifrovaya-pechat/razdatochnue_materialu/","Раздаточные материалы","60","razdatochnye-materialy","Раздаточные материалы","1.000","pos-materialy","POS-материалы","0.500","akrilovye-paneli","Акриловые панели","0.000","",""
"https://comint.by/cifrovaya-pechat/sertifikaty-diplomy/","Печать сертификатов, дипломов, благодарностей","140","pechat-sertifikatov-diplomov-blagodarnostey","Печать сертификатов, дипломов, благодарностей","1.000","uf-pechat","УФ печать","0.400","pechat-bannerov","Печать баннеров","0.333","",""
"https://comint.by/cifrovaya-pechat/svadebnaya-poligraphiya/","Рассадки и пригласительные на свадьбу","387","rassadki-i-priglasitelnye-na-svadbu","Рассадки и пригласительные на свадьбу","1.000","akrilovye-paneli","Акриловые панели","0.000","bloki-dlya-zapisey-kub-bloki","Блоки для записей, куб-блоки","0.000","",""
"https://comint.by/decor-interjera/fotografii/","Печать фотографий большого формата","470","pechat-fotografiy-bolshogo-formata","Печать фотографий большого формата","1.000","pechat-posterov-i-plakatov-bolshogo-formata","Печать постеров и плакатов большого формата","0.667","pechat-na-holste-reproduktsiy-kartin-i-fotografiy","Печать на холсте репродукций картин и фотографий","0.444","",""
"https://comint.by/decor-interjera/fotooboi/","Изготовление фотообоев на заказ","240","izgotovlenie-fotooboev-na-zakaz","Изготовление фотообоев на заказ","1.000","izgotovlenie-birok-i-yarlykov","Изготовление бирок и ярлыков","0.333","izgotovlenie-znakov-bezopasnosti","Изготовление знаков безопасности","0.333","",""
"https://comint.by/decor-interjera/matirovanie-stekol/","Матирование стекла пленкой с эффектом «иней»","345","matirovanie-stekla-plenkoy-s-effektom-iney","Матирование стекла пленкой с эффектом «иней»","1.000","akrilovye-paneli","Акриловые панели","0.000","bloki-dlya-zapisey-kub-bloki","Блоки для записей, куб-блоки","0.000","",""
"https://comint.by/decor-interjera/naklejki-na-stenyi-i-mebel/","Декоративные наклейки на стены и мебель, стикеры на холодильник","346","dekorativnye-nakleyki-na-steny-i-mebel-stikery-na-holodilnik","Декоративные наклейки на стены и мебель, стикеры на холодильник","1.000","nakleyki-na-avto","Наклейки на авто","0.250","napolnye-nakleyki","Напольные наклейки","0.250","",""
"https://comint.by/decor-interjera/pechat-na-xolste/","Печать на холсте репродукций картин и фотографий","406","pechat-na-holste-reproduktsiy-kartin-i-fotografiy","Печать на холсте репродукций картин и фотографий","1.000","pechat-fotografiy-bolshogo-formata","Печать фотографий большого формата","0.444","uf-pechat","УФ печать","0.333","",""
"https://comint.by/decor-interjera/posteryi-i-plakatyi/","Печать постеров и плакатов большого формата","117","pechat-posterov-i-plakatov-bolshogo-formata","Печать постеров и плакатов большого формата","1.000","pechat-fotografiy-bolshogo-formata","Печать фотографий большого формата","0.667","pechat-reklamnyh-plakatov-i-afish","Печать рекламных плакатов и афиш","0.444","",""
"https://comint.by/decor-interjera/skinali/","Скинали для кухни","155","skinali-dlya-kuhni","Скинали для кухни","1.000","suveniry-dlya-medrabotnikov","Сувениры для медработников","0.333","trafarety-dlya-dekora","Трафареты для декора","0.333","",""
"https://comint.by/decor-interjera/trafaretyi-dlya-okraski-sten/","Трафареты для декора","118","trafarety-dlya-dekora","Трафареты для декора","1.000","samokleyaschiesya-trafarety","Самоклеящиеся трафареты","0.400","skinali-dlya-kuhni","Скинали для кухни","0.333","",""
"https://comint.by/info-pos/akrilovye-paneli/","Акриловые панели","352","akrilovye-paneli","Акриловые панели","1.000","bloki-dlya-zapisey-kub-bloki","Блоки для записей, куб-блоки","0.000","breloki-s-logotipom","Брелоки с логотипом","0.000","",""
"https://comint.by/info-pos/czennikoderzhateli-iz-plastika-i-orgstekla/","Ценникодержатели из пластика и оргстекла","132","tsennikoderzhateli-iz-plastika-i-orgstekla","Ценникодержатели из пластика и оргстекла","1.000","podstavki-pod-tovary-iz-orgstekla","Подставки под товары из оргстекла","0.286","podstavki-pod-poligraficheskuyu-produktsiyu-iz-orgstekla","Подставки под полиграфическую продукцию из оргстекла","0.250","",""
"https://comint.by/info-pos/garderobnye-nomerki-birki-i-nomerki-dlya-klyuchej/","Гардеробные номерки, бирки и номерки для ключей","162","garderobnye-nomerki-birki-i-nomerki-dlya-klyuchey","Гардеробные номерки, бирки и номерки для ключей","1.000","skinali-dlya-kuhni","Скинали для кухни","0.250","suveniry-dlya-medrabotnikov","Сувениры для медработников","0.250","",""
"https://comint.by/info-pos/hengery-izgotovlenie-i-pechat-hengerov/","Хенгеры, изготовление и печать хенгеров","271","hengery-izgotovlenie-i-pechat","Хенгеры: изготовление и печать","1.000","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","0.571","izgotovlenie-i-pechat-vizitok","Изготовление и печать визиток","0.571","",""
"https://comint.by/info-pos/izgotovlenie-reklamnyh-mobajlov/","Изготовление рекламных мобайлов","309","izgotovlenie-reklamnyh-mobaylov","Изготовление рекламных мобайлов","1.000","izgotovlenie-reklamnyh-pilonov","Изготовление рекламных пилонов","0.667","izgotovlenie-naruzhnyh-reklamnyh-vyvesok","Изготовление наружных рекламных вывесок","0.571","",""
"https://comint.by/info-pos/izgotovlenie-torgovoj-atributiki/","Изготовление торговой атрибутики","5","izgotovlenie-torgovoy-atributiki","Изготовление торговой атрибутики","1.000","izgotovlenie-birok-i-yarlykov","Изготовление бирок и ярлыков","0.333","izgotovlenie-znakov-bezopasnosti","Изготовление знаков безопасности","0.333","",""
"https://comint.by/info-pos/kompleksnoe-oformlenie-mest-prodazh/","Комплексное оформление магазина, рекламное оформление торгового зала","729","kompleksnoe-oformlenie-magazina-reklamnoe-oformlenie-torgovogo-zala","Комплексное оформление магазина / рекламное оформление торгового зала","1.000","oformlenie-pasporta-naruzhnoy-reklamy","Оформление паспорта наружной рекламы","0.200","oformlenie-vitrin-magazinov-reklama-na-vitrinah","Оформление витрин магазинов, реклама на витринах","0.182","",""
"https://comint.by/info-pos/mulyazhi-produktov/","Муляжи продуктов","242","mulyazhi-produktov","Муляжи продуктов","1.000","akrilovye-paneli","Акриловые панели","0.000","bloki-dlya-zapisey-kub-bloki","Блоки для записей, куб-блоки","0.000","",""
"https://comint.by/info-pos/pechat-shelftokerov/","Печать шелфтокеров","231","pechat-shelftokerov","Печать шелфтокеров","1.000","uf-pechat","УФ печать","0.667","pechat-bannerov","Печать баннеров","0.500","",""
"https://comint.by/info-pos/podstavki-pod-poligraficheskuyu-produkcziyu-iz-orgstekla/","Подставки под полиграфическую продукцию из оргстекла","193","podstavki-pod-poligraficheskuyu-produktsiyu-iz-orgstekla","Подставки под полиграфическую продукцию из оргстекла","1.000","podstavki-pod-tovary-iz-orgstekla","Подставки под товары из оргстекла","0.667","podstavki-pod-kruzhku","Подставки под кружку","0.500","",""
